Town Name ,State,StateABB,Latitude,Longitude,YearEst,DecadeEst,Existing,Incorporated,YearInc,Source1,Source2,Source3
Dempsey,Alaska,US-AK,63.038889,-144.85139,1898,1890-1899,No,No,N/A,"Brooks, Alfred Hulse. Mineral Resources of Alaska: Report on Progress of Investigation. No. 480. US Government Printing Office, 1911. (only brief mentioning of Dempsey)","Alaska Historical Society, Honoring Melvin Dempsey AHS Honoring Melvin Dempsey Part 2  LA Herald article,1900, ""Melvin Depsey Richest Indian""",https://www.valdezmuseum.org/ 
Mobile,Arizona,US-AZ,33.055048,-112.272216,1930s,1930-1939,No,No,N/A,"Swanson, Mark T. An Archaeological Investigation of the Historic Black Settlement at Mobile, Arizona. (1992). | Lee, G. Fred, and Anne Jones-Lee. ""Justification for Opposition by Residents of Mobile, Arizona, to the Siting of an Additional Landfill in Mobile."" (2004).","""An African American Community""",
Randolph,Arizona,US-AZ,32.917015,-111.515081,1920s,1920-1929,Yes,No,N/A,"LeSeur, Geta. 2002. Not All Okies Are White: The Lives of Black Cotton Pickers in Arizona.  ","Arizona Memory Project, photograph of building in Randolph    Janofsky, Michael. ""Cotton Jobs Gone, Black Migrants' Town Limps On."" New York Times, 2002. ",News station video of Melvin Moore/Black History Month  Pinal County Historical Society & Museum
Blackville,Arkansas,US-AR,35.485127,-91.163688,1891,1890-1899,No,No,N/A,"Smith, C. Calvin. ""Serving the Poorest of the Poor: Black Medical Practitioners in the Arkansas Delta, 1880-1960."" The Arkansas Historical Quarterly 57, no. 3 (1998): 287-308. Accessed June 25, 2020. doi:10.2307/40025884.  |  James, Phil. “Pickens Black, Planter.” The Stream of History 16 (October 1978): 11–19. | ","Soul of America, Blackville Encylopedia of Arkansas, more on Pickens Black  Arkansas Democrat Gazette article",Stream of History source 
Edmondson,Arkansas,US-AR,35.103611,-90.308056,1868,1860-1869,Yes,Yes,1911,"Ownbey, Samuel. “‘The Once Peaceful Little Town’: Edmondson, Arkansas, and the Decline of African American Landownership.” MA thesis, University of Arkansas, 2020.","Encylopedia of Arkansas, Edmondson census data and history ",Crittenden County Museum 
Lake View,Arkansas,US-AR,34.415534,-90.813592,1937,1930-1939,Yes,Yes,N/A,"Jordan, Meagan M., David Chapman, and Sharon L. Wrobel. ""Rich Districts, Poor Districts: The Property Tax Equity Impact of Arkansas School Finance Equalization."" Public Finance and Management 14, no. 4 (2014): 399-415.","Phillips County, Arkansas, Lake View Arkansas Democrat Gazette",
Menifee,Arkansas,US-AR,35.148672,-92.555373,1820s,1820-1829,Yes,Yes,1966,"Matkin-Rawn, Story. """"The Grandfathers"": Lewis Wade Jones' Profile of Menifee, Arkansas."" The Arkansas Historical Quarterly 72, no. 1 (2013): 42-58. Accessed June 25, 2020. www.jstor.org/stable/24477529  | Morgan, Gordon D., Dina Cagle, and Linde Harned. Black hillbillies of the Arkansas Ozarks. Dept. of Sociology, University of Arkansas, 1973.  |  ","Encyclopedia of Arkansas, Menifee     https://www.menifee501.com/about.html",https://www.facebook.com/cityofmenifee/  Menifee African American Graves search 
Thomasville,Arkansas,US-AR,34.746691,-90.933903,N/A,1860-1869,No,No,N/A,"Grim, Valerie. ""African American Landlords in the Rural South, 1870-1950: A Profile."" Agricultural History 72, no. 2 (1998): 399-416. Accessed June 25, 2020. www.jstor.org/stable/3744389. | Burton, Orville Vernon. The Age of Lincoln. 2008.  |   Douglas, Robert Sidney. ""History of southeast Missouri: a narrative account of its historical progress, its people and its principal interests. Volume I."" (1912).",,
Little Liberia,Baja California,MX-BCN,32.236893,-116.5443297,1917,1910-1919,No,No,N/A,"“Little Liberia, the African American Agricultural Colony in Baja California” in Farming Across Borders: Transnational Agricultural History in the North American West, ed. Sterling Evans (College Station: Texas A&M University Press, 2017).; Hooton, L. K. (2018). Co-Opting the Border: The Dream of African American Integration via Baja California. UC Santa Barbara.; McBroome, D. N. (2001); Bakken & Kindell (2006)",https://www.blackpast.org/global-african-history/little-liberia-baja-california-1919/,https://escholarship.org/uc/item/6zt9m10j
Strathcona / Hogan's Alley,British Columbia,CA-BC,49.2771487,-123.0984334,1910,1910-1919,No,No,N/A,"Allen, S. (2019). Fight the power: Redressing displacement and building a just city for Black lives in Vancouver.; Rudder, A. J. (2004). A black community in Vancouver?: A history of invisibility.",http://blackstrathcona.com/  https://www.hogansalleysociety.org/,https://bcblackhistory.ca/learning-centre/information-sources/blacks-in-bc-history/
Saltspring / Salt Springs Island,British Columbia,CA-BC,48.8847288,-123.5221326,1860s,1860-1869,No,No,N/A,http://saltspringarchives.com/Black_Community.html http://saltspringarchives.com/audio/free.html,"https://www.blackpast.org/global-african-history/places-global-african-history/saltspring-island-british-columbia/#:~:text=Now%20known%20as%20an%20upscale,them%20in%20the%20United%20States.",
Abila,California,US-CA,33.93629,-118.248363,1902,1900-1909,No,No,N/A,"Hamilton (1991); Bakken & Kindell (2006); Taylor (1999); see also sources on Mudtown/Watts - Horne, G. (1995) The Fire This Time: The Watts Uprising and the 1960s (notes page 373); Alder (1997); novel by Bontemps, Arna (1931, page 118-119)",,
Allensworth,California,US-CA,35.863738,-119.38909,1908,1900-1909,Yes,Yes,N/A,Hamilton (1991); Bakken & Kindell (2006); Taylor (1999); Hart (2018),"https://www.abc10.com/article/news/local/abc10-originals/remembering-the-historically-black-town-of-allensworth/103-74ff339f-e498-419c-bc17-cc17d67a4ff5     https://www.historynet.com/allensworth-californias-african-american-community.htm
 https://www.blackpast.org/wp-content/uploads/Colonel_Allensworth_State_Historic_Park_Allensworth_California_July_25_2009.jpg","https://www.historynet.com/allensworth-californias-african-american-community.htm
 https://www.blackpast.org/wp-content/uploads/Colonel_Allensworth_State_Historic_Park_Allensworth_California_July_25_2009.jpg"
Bowles,California,US-CA,36.604167,-119.751111,1900-1918,1900-1909,Yes,No,N/A,Hamilton (1991); Bakken & Kindell (2006); Taylor (1999),,
El Centro,California,US-CA,32.8,-115.566667,1918,1910-1919,Yes,Yes,N/A,Bakken & Kindell (2006),"https://calisphere.org/item/ark:/13030/kt3h4nc55s/
 https://commons.wikimedia.org/wiki/File:(El_Centro_Hist%C3%B3rico_de_Quito)_Plaza_del_Teatro_(Historic_Center_of_Quito_-_UNESCO_World_Heritage_Site)_pic_a2aa.jpg",
Fowler,California,US-CA,36.633333,-119.683333,1890,1890-1899,Yes,Yes,N/A,Bakken & Kindell (2006); Adler (1997),https://www.valleyhistory.org/index.php?c=99,
Furlong Tract,California,US-CA,33.994339,-118.256498,1905,1900-1909,No,No,N/A,Bakken & Kindell (2006); Adler (1997),https://www.latimes.com/archives/la-xpm-1995-02-13-me-31591-story.html,http://www.westadams-normandie.com/index.php/lapl-photos/42-the-furlong-tract
Imperial Valley,California,US-CA,32.8475,-115.569444,1904,1900-1909,Yes,Yes,N/A,"Bakken & Kindell (2006); Beasley, D. L. (1919)",,
John Nobles Ranch (Coachella Valley),California,US-CA,33.7111668,-116.2316576,1930s,1930-1939,No,No,N/A,https://www.kcet.org/socal-focus/african-americans-shaping-the-california-desert-coachella-valley,https://www.blackpast.org/african-american-history/nobles-john-c-1880s-c-1940s/.         https://www.latimes.com/archives/la-xpm-1992-08-18-fi-5782-story.html,
Kentucky Ridge,California,US-CA,38.731506,-120.770014,1851,1850-1859,No,No,N/A,"Lapp, R. M. (1977); Savage, W. S. (1977); State of California, Department of Parks and Recreation, ""Five Views,"" (1988)",BLACK TOWNS CALIFORNIA.,https://www.facebook.com/events/nevada-county-madelyn-helling-main-library/kentucky-ridge-mine-a-southern-slave-colony-in-nevada-county/410187619370393/
Negro Bar (Folsom),California,US-CA,38.680186,-121.184677,1844,1840-1849,No,No,N/A,"Gibb, A. (2015); Lapp, R. M. (1977); Whitney, J. T. (2012) - http://csus-dspace.calstate.edu/bitstream/handle/10211.9/1564/Justin%20Whitney.Final%20Combined.pdf;sequence=9",BLACK TOWNS CALIFORNIA.     https://calisphere.org/item/ark:/13030/hb3d5nb11b/.    https://en.wikipedia.org/wiki/Rancho_Rio_de_los_Americanos,https://www.parks.ca.gov/?page_id=27866.    https://photos.wikimapia.org/p/00/02/01/93/68_big.jpg
Val Verde,California,US-CA,34.455875,-118.55949,1924,1920-1929,Yes,No,N/A,Bakken & Kindell (2006),"William-Ross, L. LAistory: Val Verde, The 'Black Palm Springs'.",https://www.culturalweekly.com/wp-content/uploads/2018/05/00025137-e1527131819617.jpg
Victorville,California,US-CA,34.536111,-117.291111,1858,1850-1859,Yes,Yes,N/A,Hamilton (1991); Bakken & Kindell (2006); Taylor (1999),https://digital-desert.com/victorville-ca/historic-photos.html,
Weed,California,US-CA,41.424167,-122.384444,1916,1910-1919,Yes,No,N/A,Bakken & Kindell (2006),"Langford, J. (2020, February 8). African Americans in the Shadow of Mt. Shasta: The Black Community of Weed, California. BlackPast.; State of California--the Resources Agency, Dept. of Parks and Recreation, Office of Historic Preservation. (1988). Five views: an ethnic historic site survey for California. Sacramento, CA (P.O. Box 942896, Sacramento 94296-0001).","http://www.familyoldphotos.com/category/towns/weed-ca
 https://www.barnesandnoble.com/w/weed-california-weed-historic-lumber-town-museum/1100120812"
West Rancho Dominguez,California,US-CA,33.894154,-118.2764918,1850s,1850-1859,Yes,No,N/A,"Paul Robinson's chapter - Race, space and the evolution of Black Los Angeles in Hunt & Ramón (2010, page 35)",,
View Park-Windsor Hills,California,US-CA,33.9956803,-118.3658338,1923,1920-1929,Yes,No,N/A,"Hester, Y. (2017). Leimert Park, An African Village, The Possibility of an Ethnically Branded Cultural District (Doctoral dissertation, UCLA).",https://www.nps.gov/places/view-park-historic-district.htm,
Dearfield,Colorado,US-CO,40.291238,-104.259491,1910,1910-1919,No,No,N/A,"Picher, Margaret. Dearfield, Colorado: a story from the Black west. Denver University, 1976  |  Johnson, Frederick P. ""Agricultural Negro Colony in Eastern Colorado."" Western Farm Life Journal (1915): 5-12.  |  David T. Miller. “Dearfield.” Topeka Plaindealer 20 (1918): 2 |  Junne, George, Osita Ofoaju, Rhonda Corman, and Rob Reinsvold. ""Dearfield, Colorado: Black Farming Success in the Jim Crow Era."" Enduring Legacies: Ethnic Histories and Cultures of Colorado (2011): 101.  |  Connell, Mary. Remembering Dearfield: A Study of an Early 20 th Century Black Community. University of Denver, 2013 (Thesis).","Internet Archive, Dearfield.  NPR article History of Weld, Dearfield  Colorado Preservation Colorado Encylcopedia  ",University of Northern Colorado archives 
Belltown,Delaware,US-DE,38.747618,-75.175774,1840s,1840-1849,Yes,No,N/A,Effort underway to save Nassau School  Cape Gazette ,"WESLAGER, C. A., L. T. Alexander, and John Swientochowski. Delaware's Forgotten Folk: The Story of the Moors and Nanticokes. University of Pennsylvania Press, 1943. (This is fictional)",
Charley Town (Townsend),Delaware,US-DE,39.395,-75.691667,1800s,1800-1850,No,Yes,N/A,"Catts, Wade P. ""HISTORIC STANDING STRUCTURE COLTURA!, RESOURCES."" ",Middletown Transcript  ,Town planning 
Little Hell,Delaware,US-DE,39.041419,-75.462263,1870s,1870-1879,No,No,N/A,https://deldot.gov/environmental/archaeology/little_heaven/pdf/doe/desc_hist_prop.pdf,Wikipedia page with paywall sources,"A.D. Marble & Company’s Architectural Survey and Report,
SR 1: Little Heaven Interchange Project (2005)."
Polktown,Delaware,US-DE,39.567628,-75.589536,1853,1850-1859,No,No,N/A,"POKETOWN PEOPLE: PARABLES IN BLACK, by Ella Middleton Tybout (1904).  |  Gall, Michael J., and Richard F. Veit, eds. Archaeologies of African American Life in the Upper Mid-Atlantic. University of Alabama Press, 2017.  |  Orr, David. ""An African American Union Soldier Remembered."" Archaeologies of African American Life in the Upper Mid-Atlantic (2017): 171.","University of Delaware, Reconstructing Delaware's 
Free Black Communities,1800-1870.   Free Library  ",http://www.colonialschooldistrict.org/blog/we-celebrate-polktown/
Star Hill,Delaware,US-DE,39.10528,-75.54056,1860s,1860-1869,Yes,No,N/A,"Proctor, Maegan. ""The Importance of the Free African Americans Role in the Delaware Underground Railroad.""  |  ","Harriet Tubman website, Star Hill ",National Register. Star Hill Museum and Church Jane and Littleton Mitchell Center for African American Heritage  DE Historical Society
Adderleyville,Florida,US-FL,24.73528,-81.0275,1906,1900-1909,No,No,N/A,"Soul of America, Adderleyville  Adderley House  ",,
American Beach,Florida,US-FL,30.57472,-81.44417,1935,1930-1939,No,No,N/A,"Phelts, Marsha Dean. An American Beach for African Americans. University Press of Florida, 1997.  |  Samdahl, Diane M., and Corey W. Johnson. ""American Beach: A Case Study of Segregation in Leisure."" SCHOLE: A Journal of Leisure Studies and Recreation Education 19, no. 1 (2004): 179-182.","NPS, History of American Beach Black Past  Post from The Bitter Southerner    ","Flims: Sims, Janice (2006). That Summer At American Beach. ISBN 1-58314-627-X. |
Sunshine State, Film directed by John Sayles in 2002.  http://www.americanbeachmuseum.org/  "
Angola,Florida,US-FL,27.483333,-82.583333,1812,1810-1819,No,No,N/A,"Baram, Uzi. ""A Haven from Slavery on Florida's Gulf Coast: Looking for Evidence of Angola on the Manatee River."" African Diaspora Archaeology Newsletter 11, no. 2 (2008): 4.  |  Howard, Rosalyn. """" Looking for Angola"": an archaeological and ethnohistorical search for a nineteenth century Florida maroon community and its Caribbean connections."" The Florida Historical Quarterly 92, no. 1 (2013): 32-68.  ","Sarasota Magazine, ""Angola's Ashes""  ",
Bland,Florida,US-FL,29.909643,-82.502273,1840s,1840-1849,Yes,No,N/A,"Cauthen, Sudye. Southern Comforts: Rooted in a Florida Place. University of Georgia Press, 2007.","Explore Historic Alachua County, Bland  ",Bland Community Families Inc. 
Bookertown,Florida,US-FL,28.826367,-81.334,1885,1880-1889,Yes,No,N/A,"Carlson, Charlie. Bookertown: A journey to the past (Florida's African-American Heritage series), 2003.",Orlando Sentinel article  Marker Honors Bookertown  ,Sanford Museum 
Eatonville,Florida,US-FL,28.618237,-81.386586,1887,1880-1889,Yes,Yes,1887,"Otey, Frank M. Eatonville, Florida: a brief history of one of America's first freedmen's towns. Four-G Pub., 1989.  |  French, Scot. ""Social Preservation and Moral Capitalism in the Historic Black Township of Eatonville, Florida: A Case Study of"" Reverse Gentrification""."" Change Over Time 8, no. 1 (2018): 54-72.  |  ","The History and Legacy of Eatonville, Florida’s Pioneering African-American Town   Eatonville History  ",http://www.townofeatonville.org/   
Fort Mose,Florida,US-FL,29.92778,-81.32528,1738,1730-1739,No,Yes,1738,"Deagan, Kathleen, and Jane Landers. ""Fort Mosé: Earliest free African-American town in the United States."" I, too, am America”: Archaeological studies of African-American life (1999): 261-82.  |  Runyon, Shane Alan. ""Fort Mose: the free African community and militia of Spanish St. Augustine."" PhD diss., Montana State University-Bozeman, College of Letters & Science, 1999.  |  Deagan, Kathleen A., and Jane Landers. ""Excavating Fort Mose: A Free Black Town in Spanish Florida."" I, Too, Am America: Archaeological Studies in African American Life (1999): 9-30.",Black Past  Fort Mose Historical Society  ,Fort Mose Historic State Park  
Freedtown,Florida,US-FL,28.302158,-82.223984,1869,1860-1869,No,No,N/A,"WFLA article, Freedtown: The town that vanished in Pasco County  ",,WFLA News Channel 8 video on Freedtown  West Tampa Alliance Facebook page 
Hannibal Square,Florida,US-FL,28.595729,-81.357579,1881,1880-1889,Yes,Yes,N/A,"Hall, Clyde W. An African-American Growing up on the West Side of Winter Park, Florida: 1925-1942. Savannah State University Document Center, 2005.  |  Chambliss, Julian C. ""A Black Social World: Recovering African American Community Life through Generative Digital Practice."" (2018).","Visit Florida, Hannibal Square  Hannibal Square Heritage Center  ",
Lincolnville,Florida,US-FL,29.884722,-81.314444,1866,1860-1869,Yes,No,N/A,"Winton, Jenna. ""Cultural Sustainability Assessment Toolkit."" (2018)","Wayback Machine, NPS Lincolnville  NPS, Lincolnville   ",https://www.lincolnvillemuseum.org/ 
"Nassauville (Fernandina, Amelia Island, American Beach)",Florida,US-FL,30.569247,-81.519734,1880,1880-1889,Yes,No,N/A,"Ashley, W. M. H. (1995). The ebony connection: a glimpse of Fernandina and Amelia Island Florida's black history 1773-1993.;  Jefferson, William James. (1994). Hupuewa: A legacy of the Hooper family of Nassauville, Florida (chapters 6-13). Alpharetta, GA: Wolfe Associates.",https://www.nytimes.com/1998/04/06/us/fernandina-beach-journal-a-black-beach-town-fights-to-preserve-its-history.html,
Parramore,Florida,US-FL,28.536679,-81.390207,1880s,1880-1889,Yes,No,N/A,"Porter, Tana Mosier. ""Segregation and Desegregation in Parramore: Orlando's African American Community."" The Florida Historical Quarterly 82, no. 3 (2004): 289-312.  |  ","The Rise and Fall of an African American Inner City: The Case of Parramore, Orlando  ",
Pilaklikaha,Florida,US-FL,28.664683,-82.053767,1813,1810-1819,No,No,N/A,"Weik, Terrance. ""Allies, adversaries, and kin in the African Seminole communities of Florida: Archaeology at Pilaklikaha."" Archaeology of Atlantic Africa and the African Diaspora, Indiana University Press, Bloomington (2007): 311-331.  |  Weik, Terrance M. ""A historical archaeology of Black Seminole Maroons in Florida: Ethnogenesis and culture contact at Pilaklikaha."" (2003): 3242-3242.","Video of artifacts from Pilaklikaha, UCF  ",
Prospect Bluff (Negro Fort in Prospect Bluff),Florida,US-FL,29.93833,-85.00944,1815,1810-1819,No,No,N/A,"Griffin, John W. ""An Archeologist at Fort Gadsden."" The Florida Historical Quarterly 28, no. 4 (1950): 254-61. Accessed July 6, 2020. www.jstor.org/stable/30138789.  |  Clavin, Matthew J. The battle of Negro Fort: The rise and fall of a fugitive slave community. NYU Press, 2019.  |  Millett, Nathaniel (2015). Maroons of Prospect Bluff and Their Quest for Freedom in the Atlantic World. University Press of Florida","PBS,  UCLA, Massacre Unveiled: Remembering the Negro Fort.  US Studies Online  ",Negro Fort Documentary 
Rosewood,Florida,US-FL,29.239002,-82.932263,1847,1840-1849,Yes,No,N/A,"GONZÁLEZ-TENNANT, EDWARD, and Paul A. Shackel. The Rosewood Massacre: An Archaeology and History of Intersectional Violence. University Press of Florida, 2018. ","Remembering Rosewood (one picture of lynching on main page warning)  History, Rosewood Massacre  The Real Rosewood Foundation  ",
Royal,Florida,US-FL,28.895913,-82.09456,1865,1860-1869,Yes,No,N/A,Community of Royal  ,Alonzo A. Young Enrichment Center Facebook Page  ,
Santos,Florida,US-FL,29.105111,-82.095722,1883,1880-1889,No,No,N/A,"Nelson, Blue. ""Structural Racism and the Destruction of Santos, Florida."" African Diaspora Archaeology Newsletter 14, no. 2 (2011): 4.","OCALA, Santos  ",
Johnsontown,Georgia,US-GA,33.8447782,-84.3590401,1912,1910-1919,No,No,N/A,http://buckheadheritage.com/johnsontown/,,
Oscarville,Georgia,US-GA,34.2484313,-83.9924152,1870,1870-1879,No,No,N/A,"Phillips, P. (2016). Blood at the Root: A racial cleansing in America. W. W. Norton & Company. ",Amber Ruffin. (2021 Jun 25). Beyond Tulsa: The secret history of flooding Black Towns to make lakes. The Amber Ruffin Show. Youtube Video https://youtu.be/l3D4hSQcWbk ,"Rojas, M. (2021 Apr 06). One of Georgia's most well known lakes has a murky history. The Signal. link."
Piney Grove,Georgia,US-GA,33.829793,-84.359018,1820s,1820-1829,No,No,N/A,The Buckhead Heritage Society. (n.d.). Piney Grove Cemetery. http://buckheadheritage.com/piney-grove-cemetery/,Mariette Daily Journal article; Atlanta Magazine  ,
Rhodes Creek,Idaho,US-ID,46.509931,-115.758726,1861,1860-1869,No,No,N/A,"Oliver, Mamie O. ""Idaho Ebony: The African American Presence in Idaho State History."" The Journal of African American History 91, no. 1 (2006): 41-54.",Idaho legislator  NPS  ,
Brooklyn,Illinois,US-IL,40.226008,-90.763229,1873,1870-1879,Yes,Yes,N/A,"Cha-Jua, Sundiata Keita. America's first black town: Brooklyn, Illinois, 1830-1915. University of Illinois Press, 2000.  ","Brooklyn, Illinois Archaeology and Heritage Project   Black Past  ","Youtube, Brooklyn Illinois -- Story of a Small Town   Historical Society of Brooklyn  "
Cairo,Illinois,US-IL,37.013056,-89.180278,1863,1860-1869,No,Yes,N/A,"Lansden, John M. A history of the city of Cairo, Illinois. SIU Press, 2009.  |  Hays, Christopher K. ""The African American Struggle for Equality and Justice in Cairo, Illinois, 1865-1900."" Illinois Historical Journal 90, no. 4 (1997): 265-284.  | Pimblott, Kerry. Faith in black power: religion, race, and resistance in Cairo, Illinois. University Press of Kentucky, 2017.","Cairo: Death by Racism, Legends of America  ",https://www.lib.niu.edu/1996/iht329613.html
Miller Grove,Illinois,US-IL,37.486804,-88.638002,1844,1840-1849,No,No,N/A,"McCorvie, Mary R. ""Archeological Griots: An Environmental History Program at Miller Grove, a Free Ante-Bellum African American Community in Southern Illinois."" African Diaspora Archaeology Newsletter 8, no. 5 (2005): 1.  |  ","SUI Archaeology Southernmost History Wayback Machine US Forest Service, People of Miller Grove   Archaeology Conservancy ",
New Philadelphia,Illinois,US-IL,40.489543,-90.472344,1836,1830-1839,No,No,N/A,"Shackel, Paul A. New Philadelphia: an archaeology of race in the heartland. Univ of California Press, 2011.  |  Fennell, Christopher C., Terrance J. Martin, and Paul A. Shackel. Historical Archaeology: New Philadelphia: Racism, Community, and the Illinois Frontier. Society for Historical Archaeology, 2010.  |  ","http://www.newphiladelphiaillinois.org/  Archaeology Conservancy, New Philadelphia   NPS, New Philadelphia  New Philadelphia Census overview ",
Pin Oak Colony,Illinois,US-IL,38.783955,-89.874453,1818,1810-1819,No,No,N/A,"Norton, William T., ed. Centennial History of Madison County, Illinois, and Its People, 1812 to 1912. Unigraphic, 1912.","Illinois Periodicals Online, Pin Oak Colony ",https://www.lib.niu.edu/1999/iht0619941.html
Robbins,Illinois,US-IL,41.64389,-87.70361,1917,1910-1919,Yes,Yes,N/A,"Wiese, Andrew. Places of their own: African American suburbanization in the twentieth century. University of Chicago Press, 2005.  ",The Village of Robbins  Encyclopedia of Chicago History  https://www.robbinshistorymusuem.org/ ,
Rocky Fork,Illinois,US-IL,38.950293,-90.231202,1816,1810-1819,No,No,N/A,"LaRoche, Cheryl Janifer. Free Black Communities and the Underground Railroad: The Geography of Resistance. University of Illinois Press, 2013.  |  ","News article on Rocky Fork Church  NPS, Rocky Fork  ",Video on exhibit 
Africa (or Smokey Hill),Indiana,US-IN,38.487222,-85.764167,1820s-1830s,1830-1839,No,No,N/A,https://indianahistory.org/research/research-materials/early-black-settlements/early-black-settlements-by-county/,"Indiana History, Black Settlements ",
